nr;Ερώτηση;σωστή απάντηση;wrong 1;wrong 2;wrong 3;Level.Section;variations;learning goal;Images;feedback
Q036;Ποιες συναρτήσεις έχουν γραφήματα με κλίσεις μεγαλύτερες ή ίσες με 2;Συναρτήσεις 2, 3 και 4;Συναρτήσεις 1, 3 και 4;Συναρτήσεις 1, 2 και 3;Συναρτήσεις 1, 2 και 4;2.7;31;G3;Q035-37_image1;Οι συναρτήσεις 2, 3 και 4 είναι η σωστή επιλογή
Q037;Ποια συνάρτηση έχει το γράφημα με τομή y πιο μακριά από το 0;Συνάρτηση 3;Συνάρτηση 1;Συνάρτηση 2;Συνάρτηση 4;2.7;18;G3;Q035-37_image1;Η συνάρτηση 3 είναι σωστή
Q038;Ποια γραφική παράσταση συνάρτησης είναι η πιο απότομη?;Συνάρτηση 4;Συνάρτηση 1;Συνάρτηση 2;Συνάρτηση 3;2.7;30;G3;Q038-40_image1;Η συνάρτηση 4 είναι σωστή επειδή η κλίση έχει το υψηλότερο μέγεθος (ή τιμή)
Q039;Ποιες συναρτήσεις έχουν γραφήματα με κλίσεις μικρότερες από 1;Συναρτήσεις 1, 3 και 4;Συναρτήσεις 1, 2 και 4;Συναρτήσεις 1, 2 και 3;Συναρτήσεις 2, 3 και 4;2.7;31;G3;Q038-40_image1;Οι συναρτήσεις 1, 3 και 4 είναι η σωστή επιλογή
Q040;Ποια συνάρτηση έχει το γράφημα με τομή y πιο μακριά από το 0;Συνάρτηση 2;Συνάρτηση 1;Συνάρτηση 2;Συνάρτηση 4;2.7;18;G3;Q038-40_image1;Η συνάρτηση 2 είναι σωστή
Q041;Ποια είναι η τιμή που λείπει στον πίνακα?;3;4;5;6;1.1;5;G1;Q041_image1;Η τιμή 3 είναι σωστή. Ο ρυθμός μεταβολής είναι σταθερός και ίσος με 2 (διαφορά μεταξύ των τιμών y 1 και -1 διαιρεμένη με τη διαφορά μεταξύ των αντίστοιχων τιμών x -1 και -2). Για να υπολογίσετε την τιμή y για x=0 προσθέτετε το ποσοστό 2 στην τιμή y για x=-1. Δηλαδή 1+2=3.
Q042;Ποια είναι η τιμή που λείπει στον πίνακα?;-1;-2;0;1;x;5;G1;Q042_image1;Η τιμή -1 είναι σωστή. Ο ρυθμός μεταβολής είναι σταθερός και ίσος με 3 (διαφορά μεταξύ των τιμών y -4 και -7 διαιρεμένη με τη διαφορά μεταξύ των αντίστοιχων τιμών x -1 και -2). Για να υπολογίσετε την τιμή y για x=0 προσθέτετε 3 στην τιμή y για x=-1. Δηλαδή -4+3=-1.
Q043;Πώς σχετίζονται μεταξύ τους οι ευθείες των εξισώσεων y=3x-8 και 2y-6x+16=0?;Η ίδια γραμμή;Παράλληλες ευθείες;Κάθετες ευθείες;Ευθείες που δεν είναι ούτε παράλληλες ούτε κάθετες;3.1;15;G4;;Οι γραμμές είναι ίδιες. Η εξίσωση 2y-6x+16=0 μπορεί να γραφτεί ως 2y=6x-16. Διαιρέστε και τις δύο πλευρές με το 2 και παίρνετε y=3x-8
Q044;Ποιες ευθείες είναι παράλληλες: A: 5x=y-1 B: y=5x –1 C: 20x-4y=8;Είναι παράλληλες;A &B;B & C;A & C;3.1;16;G4;;Είναι όλα παράλληλα γιατί έχουν ίση κλίση: 5
Q045;Ποια είναι η εξίσωση της ευθείας που είναι κάθετη στην ευθεία 5x-3y+30 και διέρχεται από το σημείο (-2, 7);5y+3x=29;3y+5x=25;5y-3x=41;5y-3x=-31;3.1;29;G5;;5y+3x=29 is correct
Q046;Ποια είναι η συντεταγμένη x του σημείου τομής για τις ευθείες 2x+5y=21 και x+y=3?;-2;-5;2;5;3.4;21;G4;;Η επιλογή -2 είναι σωστή
Q047;Ποια είναι η συντεταγμένη y του σημείου τομής για τις ευθείες 7x+2y=3 και x-3y=30?;-9;-3;3;9;3.4;21;G4;;Η επιλογή -9 είναι σωστή
Q048;Αν 2x-3y=24 και 3x+4y=2, ποια είναι η τιμή του x-y?;10;2;22;26;3.2;19;G4;;Το 10 είνα σωστό
Q049;Αν a+b=5 και 3a+2b=20, τότε με τι ισούται το 3a+b?;25;10;15;20;3.2;19;G4;;Το 25 είναι σωστό. Υπάρχουν πολλές πιθανές στρατηγικές.
Q050;Χρησιμοποιώντας το δεδομένο σημείο, ποια είναι η εξίσωση αυτής της ευθείας?;y - 2 = 3(x - 1);y = 3x – 1;y - 2 = 1/3(x - 1);y - 1 = 3(x - 2);3.3;20;G4;Q050_image1;y - 2 = 3(x - 1) είναι σωστό
Q051;Ποιο από τα παρακάτω γραφήματα αναπαριστά γραμμική συνάρτηση?;Γράφημα C;Γράφημα A;Γράφημα B;Γράφημα D;x;22;G1;Q051_image1;Το γράφημα  C είναι σωστό
Q052;Ποιο από τα παρακάτω γραφήματα αναπαριστά γραμμική συνάρτηση?;D;A;B;C;1.1;22;G1;Q052_image1;Ο πίνακας D είναι σωστός επειδή ο ρυθμός μεταβολής είναι σταθερός (διαφορά μεταξύ των τιμών y διαιρούμενη με τη διαφορά μεταξύ των αντίστοιχων τιμών x)
Q053;Ποια από αυτές τις ευθείες έχει κλίση -5?;c;a;b;d;1.3;23;G1;Q053_image1;Το γράφημα (γ) είναι σωστό επειδή το πρόσημο της κλίσης είναι αρνητικό (φθίνουσα γραφική παράσταση) και μεγαλύτερο μέγεθος (το γράφημα είναι πιο απότομο)
Q054;Το σχήμα δείχνει τα πρώτα τέσσερα μοτίβα V. Κάθε μοτίβο έχει έναν αριθμό. Ποιος αριθμός έχει μοτίβο V με 17 τελείες?;8;6;7;Δεν υπάρχει μοτίβο V με 17 κουκκίδες;1.1;24;G1;Q054_image1;Πρέπει να είναι 8. Ο σταθερός ρυθμός μεταβολής είναι 2 (προσθέτετε πάντα 2 τελείες σε κάθε νέο μοτίβο). Το μοτίβο 1 έχει 3 τελείες, το μοτίβο 2 έχει 5 κουκκίδες και το μοτίβο 8 έχει 17 κουκκίδες.
Q055;Το σχήμα δείχνει τα πρώτα τέσσερα μοτίβα V. Κάθε μοτίβο έχει έναν αριθμό. Πόσες τελείες έχει το μοτίβο V με τον αριθμό 85?;171;169;170;168;1.1;24;G1;Q055_image1;Η απάντηση είναι 171. Ο σταθερός ρυθμός μεταβολής είναι 2 και η τομή y είναι 1 (για μοτίβο μηδέν υπάρχει 1 τελεία). Ολόκληρο το μοτίβο δίνεται από τον τύπο y=2x+1. Για x=85, είναι y=171
Q056;Το σχήμα δείχνει τα τρία πρώτα μοτίβα W. Κάθε μοτίβο έχει έναν αριθμό. Ποιος αριθμός έχει μοτίβο W με 21 τελείες?;5;4;6;Δεν υπάρχει μοτίβο W με 21 κουκκίδες;1.1;24;G1;Q056_image1;Η απάντηση είναι 171. Ο σταθερός ρυθμός μεταβολής είναι 2 και η τομή y είναι 1 (για μοτίβο μηδέν υπάρχει 1 τελεία). Ολόκληρο το μοτίβο δίνεται από τον τύπο y=2x+1. Για x=85, είναι y=171
Q057;Το σχήμα δείχνει τα τρία πρώτα μοτίβα W. Κάθε μοτίβο έχει έναν αριθμό. Πόσες τελείες έχει το μοτίβο W με τον αριθμό 25?;101;99;100;102;1.1;24;G1;Q057_image1;Η απάντηση είναι 101. Ο σταθερός ρυθμός μεταβολής είναι 4 και η τομή y είναι 1 (για μοτίβο μηδέν υπάρχει 1 τελεία). Ολόκληρο το μοτίβο δίνεται από τον τύπο y=4x+1. Για x=25 είναι y=101
Q058;Δείτε το δρόμο από το Α προς το Η. Ποια είναι η κλίση του ευθύγραμμου τμήματος ΑΒ?;2;4;0,5;1;1.4;27;G1;Q018_image1;Το 2 είναι η σωστή απάντηση επειδή η διαφορά μεταξύ των τιμών y διαιρούμενη με τη διαφορά μεταξύ των αντίστοιχων τιμών x είναι 2.
Q059;Δείτε το δρόμο από το Α προς το Η. Ποια είναι η κλίση του ευθύγραμμου τμήματος BC?;-0,5;-2;-1;-3;1.4;27;G1;Q018_image1;η σωστή απάντηση είναι -0,5 γιατί η διαφορά μεταξύ των τιμών y διαιρούμενη με τη διαφορά μεταξύ των αντίστοιχων τιμών x είναι -0,5.
Q060;Δείτε το δρόμο από Α προς Η. Ποια είναι η κλίση του ευθύγραμμου τμήματος  DE?;-1;-2;2;1;1.4;27;G1;Q018_image1;η σωστή απάντηση είναι -1 επειδή η διαφορά μεταξύ των τιμών y διαιρούμενη με τη διαφορά μεταξύ των αντίστοιχων τιμών x είναι -1.
Q061;Δείτε το δρόμο από το Α προς το Η. Ποια είναι η κλίση του ευθύγραμμου τμήματος EF?;0;1;-1;Το EF δεν έχει κλίση;1.4;27;G1;Q018_image1;Το 0 είναι η σωστή απάντηση γιατί η γραμμή είναι οριζόντια
Q062;Δείτε το δρόμο από το Α προς το Η. Ποια είναι η κλίση του ευθύγραμμου τμήματος FG?;1,5;2;3;2/3;1.4;27;G1;Q018_image1;Το 1,5 είναι η σωστή απάντηση επειδή η διαφορά μεταξύ των τιμών y διαιρούμενη με τη διαφορά μεταξύ των αντίστοιχων τιμών x είναι 1,5.
Q063;Δείτε το δρόμο από το Α προς το Η. Ποια είναι η κλίση του ευθύγραμμου τμήματος FG?;1/3;3;4;0,5;1.4;27;G1;Q018_image1;Το 1/3 είναι η σωστή απάντηση επειδή η διαφορά μεταξύ των τιμών y διαιρούμενη με τη διαφορά μεταξύ των αντίστοιχων τιμών x είναι 1/3
Q064;Δίνεται η εξίσωση y = x + 4.Ποιος μαθητής έχει δίκιο?;Τζούλια: αυτή η ευθεία διέρχεται από τον άξονα στο (0,4).;Peter: αυτή η ευθεία διέρχεται από τον άξονα στο (4,0).;Paul: αυτή η ευθεία έχει κλίση 4.;Κανένας από τους μαθητές δεν έχει δίκιο.;2.6;28;G2;;η σωστή επιλογή είναι από την Τζούλια
Q065;Ποια ευθεία έχει y-τομή 4?;a;b;c;d;t;25;G1;Q065_image1;Το a είναι σωστό γιατί η ευθεία διασχίζει τον άξονα y κατά 4
Q066;Ποια ευθεία διέρχεται από το σημείο (0,-4)?;b;a;c;d;1.2;25;G1;Q065_image1;Το b είναι σωστό γιατί η ευθεία διασχίζει τον άξονα x με μηδέν και τον άξονα y κατά -4
Q067;Ποια ευθεία έχει y-τομή 4?;a;b;c;d;1.2;26;G1;Q067_image1;Το α είναι σωστό γιατί αν η τιμή x είναι μηδέν, η τιμή y είναι 4 (εντομή y)
Q068;Ποια ευθεία διέρχεται από το σημείο (0,-4)?;b;a;c;d;1.2;26;G1;Q067_image1;Το b είναι σωστό γιατί αν η τιμή x είναι μηδέν, η τιμή y είναι - 4
Q069;Ποια ευθεία έχει y-τομή 4?;Πίνακας C;Πίνακας Α;Πίνακας B;Πίνακας D;1.2;33;G1;Q069_image1;Ο πίνακας Γ είναι σωστός γιατί για x=0 η τιμή y είναι 4
Q070;Ποια ευθεία διέρχεται από το σημείο (0,-4)?;d;a;b;c;1.2;33;G1;Q069_image1;Το d είναι σωστό γιατί για x=0 η τιμή y είναι -4
Q071;Ποια ευθεία έχει την υψηλότερη τομή y?;a;b;c;d;1.2;26;G1;Q067_image1;Η επιλογή α είναι σωστή επειδή το 4 είναι υψηλότερο από -4, -2 και 2 (που είναι οι άλλες τομές y)
Q072;Ποιο από τα γραφήματα αντιστοιχεί στον πίνακα?;b;a;c;d;2.1;;G2;Q072_image1;Το b είναι σωστό γιατί η ευθεία έχει θετική κλίση και η τομή y είναι -6.
Q073;Ποιος από τους πίνακες αντιστοιχεί στο γράφημα?;Πίνακας B;Πίνακας A;Πίνακας C;πίνακας D;2.1;;G2;Q073_image1;ο πίνακας d είναι σωστός
Q074;Ποια ευθεία έχει κλίση 2 και τομή y -4?;d;a;b;c;2.2;34;G2;Q074_image1;Το d είναι σωστό γιατί για κάθε βήμα στη θετική διεύθυνση x οι τιμές y αυξάνονται με δύο μονάδες. Και η γραμμή διασχίζει τον άξονα y κατά -4
Q075;Ποια ευθεία έχει κλίση -2 και διέρχεται από (1,1)?;b;a;c;d;2.2;34;G2;Q075_image1;Το b είναι σωστό γιατί είναι η μόνη ευθεία με θετική κλίση και θετική τομή y
Q076;Δεδομένου του γραφήματος.Ποιος μαθητής έχει δίκιο?;Κάνενας από τους μαθητές δεν είναι σωστός;Ebbe: η τομή y είναι θετική.;Μηδέν: η γραμμή διέρχεται από (-1,1).;Ines: η κλίση είναι αρνητική.;2.2;;G2;Q076_image1;Κανένας από τους μαθητές δεν έχει δίκιο είναι η σωστή απάντηση γιατί: η τομή y είναι αρνητική (όχι θετική). η γραμμή πηγαίνει κατώτερα (-2,1) και όχι (-1, 1). η κλίση είναι θετική (όχι αρνητική).
Q077;Ποιος πίνακας αντιστοιχεί σε φθίνουσα γραμμική συνάρτηση με τομή y -4?;Πίνακας D;Πίνακας A;Πίνακας B;Πίνακας C;2.5;;G2;Q077_image1;Ο Πίνακας D είναι σωστός γιατί αν x=0 στον Πίνακα D τότε είναι y=-4
Q078;Δεδομένου του γραφήματος.Ποιος μαθητής έχει δίκιο?;Marloes: αυτή η γραμμική συνάρτηση έχει κλίση -2.;Paul: αυτή η γραμμική συνάρτηση διέρχεται από (10,-10).;Ines: αυτή η γραμμική συνάρτηση έχει y-τομή 4.;Κανένας από τους μαθητές δεν έχει δίκιο.;2.5;;G2;Q078_image1;Ο Marloes έχει δίκιο γιατί η διαφορά μεταξύ των τιμών y (για παράδειγμα 4-8=-4) διαιρούμενη με τη διαφορά μεταξύ των αντίστοιχων τιμών x είναι -2.
Q079;Ποιος πίνακας αντιστοιχεί στον τύπο y=-2(x-4)?;Πίνακας D;Πίνακας A;Πίνακας B;Πίνακας C;2.3;;G2;Q079_image1;Ο πίνακας D είναι σωστός. Υπάρχουν διάφοροι τρόποι για να βρείτε την απάντηση. Για παράδειγμα: y=-2(x-4) άρα y=-2x+8, που σημαίνει ότι για x=0 η τιμή του y είναι 8.
