nr,Question,correct answer,wrong 1,wrong 2,wrong 3,Level.Section,variations,learning goal,Images,feedback,,,,,,,,,,,,,,,
Q030,Welke functies hebben grafieken met hellingen kleiner dan of gelijk aan 1,Functie 1; 2 en 4,Functie 1; 3 and 4,Functie 1; 2 en 3   ,Functie 2; 3 and 4,2.7,31,G3,Q029-31_image1,functies 1; 2 en 4 is de juiste optie,,,,,,,,,,,,,,,
Q031,Welke functie heeft de grafiek met een y-snijpunt dat het verst verwijderd is van 0,Functie 3,Functie 1,Functie 2,Functie 4,2.7,18,G3,Q029-31_image1,Function 3 is juist,,,,,,,,,,,,,,,
Q032,Van welke functie is de grafiek het steilst?,Functie 2    ,Functie 1,Functie 3,Functie 4,2.7,30,G3,Q032-34_image1,,,,,,,,,,,,,,,,
Q033,Welke functies hebben grafieken met hellingen kleiner dan 1,Functie 1; 2 en 4,Functie 1; 3 and 4,Functie 1; 2 en 3   ,Functie 2; 3 and 4,2.7,31,G3,Q032-34_image1,functies 1; 2 en 4 is de juiste optie,,,,,,,,,,,,,,,
Q034,Welke functie heeft de grafiek met een y-snijpunt dat het verst verwijderd is van 0,Functie 3,Functie 1,Functie 2,Functie 4,2.7,18,G3,Q032-34_image1,Function 3 is juist,,,,,,,,,,,,,,,
Q035,Van welke functie is de grafiek het steilst?,Functie 2    ,Functie 1,Functie 3,Functie 4,2.7,30,G3,Q035-37_image1,,,,,,,,,,,,,,,,
Q036,Welke functies hebben grafieken met hellingen groter dan of gelijk aan 2,Functie 2; 3 en 4,Functie 1; 3 and 4,function 1; 2 en 3   ,Functie 1; 2 en 4   ,2.7,31,G3,Q035-37_image1,functies 2; 3 en 4 is de juiste optie,,,,,,,,,,,,,,,
Q037,Welke functie heeft de grafiek met een y-snijpunt dat het verst verwijderd is van 0,Functie 3,Functie 1,Functie 2,Functie 4,2.7,18,G3,Q035-37_image1,Function 3 is juist,,,,,,,,,,,,,,,
Q038,Van welke functie is de grafiek het steilst?,Functie 4    ,Functie 1,Functie 2,Functie 3,2.7,30,G3,Q038-40_image1,,,,,,,,,,,,,,,,
Q039,Welke functies hebben grafieken met hellingen kleiner dan 1,Functie 1; 3 en 4,Functie 1; 2 and 4   ,Functie 1; 2 en 3   ,Functie 2; 3 en 4   ,2.7,31,G3,Q038-40_image1,Functies 1; 3 en 4 is de juiste optie,,,,,,,,,,,,,,,
Q040,Welke functie heeft de grafiek met een y-snijpunt dat het verst verwijderd is van 0,Functie 2    ,Functie 1,Functie 3,Functie 4,2.7,18,G3,Q038-40_image1,Function 2 is juist,,,,,,,,,,,,,,,
Q041,Welke waarde ontbreekt in de tabel?,3,4,5,6,1.1,5,G1,Q041_image1,Waarde 3 is correct. De veranderingssnelheid is constant en gelijk aan 2 (verschil tussen de y-waarden 1 en -1 gedeeld door het verschil tussen de overeenkomstige x-waarden -1 en -2). Om de y-waarde voor x=0 te berekenen; tel je het tarief 2 op bij de y-waarde voor x=-1. Dat is 1+2=3.,,,,,,,,,,,,,,,
Q042,Welke waarde ontbreekt in de tabel?,-1,-2,0,1,x,5,G1,Q042_image1,Waarde -1 is correct. De veranderingssnelheid is constant en gelijk aan 3 (verschil tussen de y-waarden -4 en -7 gedeeld door het verschil tussen de overeenkomstige x-waarden -1 en -2). Om de y-waarde voor x=0 te berekenen tel je 3 op bij de y-waarde voor x=-1. Dat is -4+3=-1.,,,,,,,,,,,,,,,
Q043,Hoe verhouden de lijnen van de vergelijkingen y=3x-8 en 2y-6x+16=0 zich tot elkaar?,Dezelfde lijn,Parallelle lijnen,Evenwijdige lijnen,Lijnen die niet evenwijdig of loodrecht zijn,3.1,15,G4,,De lijnen zijn hetzelfde. De vergelijking 2y-6x+16=0 kan worden geschreven als 2y=6x-16. Deel beide zijden door 2 en je krijgt y=3x-8,,,,,,,,,,,,,,,
Q044,Welke lijnen zijn evenwijdig: A: 5x=y-1 B: y=5x –1 C: 20x-4y,Ze zijn allemaal parallel,A &B,B & C,A & C,3.1,16,G4,,Ze zijn allemaal evenwijdig omdat ze een gelijke helling hebben: 5,,,,,,,,,,,,,,,
Q045,Wat is de vergelijking van de lijn die loodrecht staat op de lijn 5x-3y+30 en door het punt (-2; 7) gaat,5y+3x=29,3y+5x=25,5y-3x=41,5y-3x=-31,3.1,29,G5,,5y+3x=29 klopt,,,,,,,,,,,,,,,
Q046,Wat is de x-coördinaat van het snijpunt van de lijnen 2x+5y=21 en x+y=3,-2,-5,2,5,3.4,21,G4,,Optie -2 is juist,,,,,,,,,,,,,,,
Q047,Wat is de y-coördinaat van het snijpunt voor de lijnen 7x+2y=3 en x-3y=30,-9,-3,3,9,3.4,21,G4,,Optie -9 is juist,,,,,,,,,,,,,,,
Q048,Als 2x-3y=24 en 3x+4y=2; wat is dan de waarde van x-y?,10,2,22,26,3.2,19,G4,,10 is juist,,,,,,,,,,,,,,,
Q049,Als a+b=5 en 3a+2b=20; waar is 3a+b dan gelijk aan?,25,10,15,20,3.2,19,G4,,25 klopt. Er zijn meerdere strategieën mogelijk,,,,,,,,,,,,,,,
Q050,Wat is de vergelijking van deze rechte lijn met behulp van het gegeven punt?,y - 2 = 3(x - 1),y = 3x –,y - 2 = 1/3(x - 1),y - 1 = 3(x - 2),3.3,20,G4,Q050_image1,y - 2 = 3(x - 1) klopt,,,,,,,,,,,,,,,
Q051,Welke van de volgende grafieken stelt een lineaire functie voor?,Grafiek C,Grafiek A,Grafiek B,Grafiek D,x,22,G1,Q051_image1,Grafiek C is juist,,,,,,,,,,,,,,,
Q052,Welke van de volgende tabellen stelt een lineaire functie voor?,D,A,B,C,1.1,22,G1,Q052_image1,Tabel D is correct omdat de veranderingssnelheid constant is (verschil tussen de y-waarden gedeeld door het verschil tussen de overeenkomstige x-waarden),,,,,,,,,,,,,,,
Q053,Welke van deze lijnen heeft een helling van -5?,c,a,b,d,1.3,23,G1,Q053_image1,grafiek (c) is correct omdat het teken van de helling negatief is (afnemende grafiek) en groter is (de grafiek is steiler),,,,,,,,,,,,,,,
Q054,"""De figuur toont de eerste vier V-patronen. Elk patroon heeft een nummer. Welk nummer heeft een V-patroon met 17 stippen?""",8,6,7,Er is geen V-patroon met 17 stippen,1.1,24,G1,Q054_image1,Het moet 8 zijn. De constante veranderingssnelheid is 2 (je voegt altijd 2 punten toe aan elk nieuw patroon). Patroon 1 heeft 3 stippen; patroon 2 heeft 5 stippen en patroon 8 heeft 17 stippen.,,,,,,,,,,,,,,,
Q055,"""De figuur toont de eerste vier V-patronen. Elk patroon heeft een nummer. Hoeveel stippen heeft het V-patroon met nummer 85?""",171,169,170,168,1.1,24,G1,Q055_image1,Het antwoord is 171. De constante veranderingssnelheid is 2 en het y-snijpunt is 1 (voor patroon nul is er 1 punt). Het hele patroon wordt gegeven door de formule y=2x+1. Voor x=85 dan is y=171,,,,,,,,,,,,,,,
Q056,"""De figuur toont de eerste drie V-patronen. Elk patroon heeft een nummer. Welk nummer heeft een W-patroon met 21 stippen?""",5,4,6,Er is geen W-patroon met 21 stippen,1.1,24,G1,Q056_image1,Het moet 5 zijn. De constante veranderingssnelheid is 4 (je voegt altijd 4 stippen toe aan elk nieuw patroon). Patroon 1 heeft 5 stippen; patroon 2 heeft 9 stippen;... en patroon 5 heeft 21 stippen.,,,,,,,,,,,,,,,
Q057,"""De figuur toont de eerste drie W-patronen. Elk patroon heeft een nummer. Hoeveel stippen heeft het W-patroon met nummer 25?""",101,99,100,102,1.1,24,G1,Q057_image1,Het antwoord is 101. De constante veranderingssnelheid is 4 en het y-snijpunt is 1 (voor patroon nul is er 1 punt). Het hele patroon wordt gegeven door de formule y=4x+1. Voor x=25 dan is y=101,,,,,,,,,,,,,,,
Q058,Zie de weg van A naar H. Wat is de helling van lijnstuk AB?,2,4,0.5,1,1.4,27,G1,Q018_image1,2 is het juiste antwoord omdat het verschil tussen de y-waarden gedeeld door het verschil tussen de overeenkomstige x-waarden 2 is.,,,,,,,,,,,,,,,
Q059,Zie de weg van A naar H. Wat is de helling van lijnstuk BC?,-0.5,-2,-1,-3,1.4,27,G1,Q018_image1,het juiste antwoord is -0;5 omdat het verschil tussen de y-waarden gedeeld door het verschil tussen de overeenkomstige x-waarden -0;5 is.,,,,,,,,,,,,,,,
Q060,Zie de weg van A naar H. Wat is de helling van lijnstuk DE?,-1,-2,2,1,1.4,27,G1,Q018_image1,het juiste antwoord is -1 omdat het verschil tussen de y-waarden gedeeld door het verschil tussen de overeenkomstige x-waarden -1 is.,,,,,,,,,,,,,,,
Q061,Zie de weg van A naar H. Wat is de helling van lijnstuk EF?,0,1,-1,EF heeft geen helling,1.4,27,G1,Q018_image1,0 is het juiste antwoord omdat de lijn horizontaal is,,,,,,,,,,,,,,,
Q062,Zie de weg van A naar H. Wat is de helling van lijnstuk FG?,1.5,2,3,2/3,1.4,27,G1,Q018_image1,1;5 is het juiste antwoord omdat het verschil tussen de y-waarden gedeeld door het verschil tussen de overeenkomstige x-waarden 1;5 is.,,,,,,,,,,,,,,,
Q063,Zie de weg van A naar H. Wat is de helling van lijnstuk GH?,1/3,3,4,0.5,1.4,27,G1,Q018_image1,1/3 is het juiste antwoord omdat het verschil tussen de y-waarden gedeeld door het verschil tussen de corresponderende x-waarden 1/3 is,,,,,,,,,,,,,,,
Q064,"""Gegeven de vergelijking y = x + 4. Welke student heeft gelijk?""",Julia: deze lijn gaat door de as bij (0;4).,Peter: deze lijn gaat door de as bij (4;0).,Paul: deze lijn heeft helling 4.,None of the students is right.,2.6,28,G2,,de juiste optie is van Julia,,,,,,,,,,,,,,,
Q065,Welke lijn heeft y-snijpunt 4?,a,b,c,d,t,25,G1,Q065_image1,"a is correct omdat de lijn de y-as met 4 kruist",,,,,,,,,,,,,,,
Q066,Welke lijn gaat door punt (0;-4)?,b,a,c,d,1.2,25,G1,Q065_image1,b is correct omdat de lijn de x-as met nul kruist en de y-as met -4,,,,,,,,,,,,,,,
Q067,Welke lijn heeft y-snijpunt 4?,a,b,c,d,1.2,26,G1,Q067_image1,a is correct; want als de x-waarde nul is; is de y-waarde 4 (y-snijpunt),,,,,,,,,,,,,,,
Q068,Welke lijn gaat door punt (0;-4)?,b,a,c,d,1.2,26,G1,Q067_image1,b is juist; want als de x-waarde nul is; is de y-waarde - 4,,,,,,,,,,,,,,,
Q069,Welke lijn heeft y-snijpunt 4?,Tabel C,Tabel A,Tabel B,Tabel D,1.2,33,G1,Q069_image1,tabel C is juist omdat voor x=0 de y-waarde 4 is,,,,,,,,,,,,,,,
Q070,Welke lijn gaat door punt (0;-4)?,d,a,b,c,1.2,33,G1,Q069_image1,d is juist omdat voor x=0 de y-waarde -4 is,,,,,,,,,,,,,,,
Q071,Welke lijn heeft het hoogste y-snijpunt?,a,b,c,d,1.2,26,G1,Q067_image1,optie a is correct omdat 4 hoger is dan -4; -2 en 2 (dit zijn de andere y-snijpunten),,,,,,,,,,,,,,,
Q072,Welke van de grafieken komt overeen met de tabel?,b,a,c,d,2.1,,G2,Q072_image1,b is correct omdat de lijn een positieve helling heeft en het y-snijpunt -6 is.,,,,,,,,,,,,,,,
Q073,Welke van de tabellen komt overeen met de grafiek?,Tabel B,Tabel A,Tabel C,Tabel D,2.1,,G2,Q073_image1,tabel d is juist,,,,,,,,,,,,,,,
Q074,Welke lijn heeft helling 2 en y-snijpunt -4?,d,a,b,c,2.2,34,G2,Q074_image1,d is juist omdat voor elke stap in de positieve x-richting de y-waarde met twee eenheden toeneemt. En de lijn kruist de y-as met -4,,,,,,,,,,,,,,,
Q075,Which line has slope -2 and goes through (1;1)?,b,a,c,d,2.2,34,G2,Q075_image1,b is correct omdat het de enige lijn is met zowel positieve helling als positief y-snijpunt,,,,,,,,,,,,,,,
Q076,"""Gezien de grafiek. Welke leerling heeft gelijk?""",Geen enkele student heeft gelijk,Ebbe: het y-snijpunt is positief.,Nils: de lijn gaat door (-1;1).,Ines: de helling is negatief.,2.2,,G2,Q076_image1,Geen van de leerlingen heeft gelijk is het juiste antwoord omdat: het snijpunt met de y-as negatief is (niet positief); de lijn gaat door (-2;1) en niet door (-1; 1); de helling is positief (niet negatief).,,,,,,,,,,,,,,,
Q077,Welke tabel komt overeen met een dalende lineaire functie met y-snijpunt -4?,Tabel D,Tabel A,Tabel B,Tabel C,2.5,,G2,Q077_image1,Tabel D is juist omdat als x=0 is in tabel D dan is y=-4,,,,,,,,,,,,,,,
Q078,"""Gezien de tabel. Welke leerling heeft gelijk?""""""",Marloes: deze lineaire functie heeft helling -2.,Paul: deze lineaire functie gaat door (10;-10).,Ines: deze lineaire functie heeft y-snijpunt 4.,Geen van de studenten heeft gelijk.,2.5,,G2,Q078_image1,Marloes heeft gelijk want het verschil tussen de y-waarden (bijvoorbeeld 4-8=-4) gedeeld door het verschil tussen de overeenkomstige x-waarden is -2.,,,,,,,,,,,,,,,
Q079,Welke tabel hoort bij de formule y=-2(x-4),Tabel D,Tabel A,Tabel B,Tabel C,2.3,,G2,Q079_image1,Tabel D is correct. Er zijn verschillende manieren om het antwoord te vinden. Bijvoorbeeld: y=-2(x-4) dus y=-2x+8; wat betekent dat voor x=0 de waarde van y 8 is.,,,,,,,,,,,,,,,
